SDSS_name,A1,env_label
SDSS J102129.45+055630.4,0.1,F
SDSS J083838.23+061748.1,0.08,F
SDSS J142757.71+625609.3,0.12,
SDSS J233451.07+141706.0,0.12,
SDSS J121017.98+542501.0,0.25,C
SDSS J105842.75+530659.4,0.25,Sh
SDSS J005735.94+143605.3,0.14,
SDSS J143317.51+035412.2,0.13,C
SDSS J225709.14+131117.9,0.15,
SDSS J155445.59+530840.9,0.16,
SDSS J080112.97+341834.9,0.18,
SDSS J140344.26+004849.7,0.11,F
SDSS J122257.45-033046.8,0.23,
SDSS J162420.43+374922.3,0.15,
SDSS J155957.38+544911.7,0.24,
SDSS J171406.10+332234.0,0.22,
SDSS J112146.43+554517.4,0.19,F
SDSS J091457.78+532311.0,0.16,Sh
SDSS J111617.29+025319.8,0.16,C
SDSS J002033.84+153745.8,0.17,
SDSS J125358.88+092957.8,0.12,Sh
SDSS J144619.46+542648.6,0.14,F
SDSS J123544.45+635930.9,0.24,
SDSS J121950.96+065933.4,0.25,F
SDSS J102627.94+041550.1,0.19,F
SDSS J141817.61+404833.3,0.19,C
SDSS J144022.72+092834.0,0.13,F
SDSS J144742.49+093934.0,0.19,C
SDSS J152621.66+035002.4,0.25,F
SDSS J095732.29+115838.0,0.24,F
SDSS J223002.13-001714.1,0.47,
SDSS J113244.06+614936.7,0.1,
SDSS J224607.46-102209.9,0.33,
SDSS J114920.21+152432.4,0.11,F
SDSS J085400.76+402151.9,0.15,F
SDSS J144759.38+092534.4,0.13,C
SDSS J114425.75+121033.1,0.26,V
SDSS J110855.13+061830.7,0.18,F
SDSS J082202.66+571830.3,0.19,F
SDSS J082201.42+212034.3,0.19,Sh
SDSS J141637.61+050635.0,0.32,F
SDSS J102923.08+571954.0,0.16,F
SDSS J081215.47+261209.2,0.21,
SDSS J154235.28+373614.6,0.16,
SDSS J161051.54+270929.9,0.12,
SDSS J140930.25+410639.3,0.18,Sh
SDSS J121744.11+131015.7,0.18,C
SDSS J031442.27-004428.0,0.06,
SDSS J161919.28+343228.2,0.27,
SDSS J162035.21+150556.0,0.25,
SDSS J075205.90+213530.7,0.19,
SDSS J145806.23+105716.3,0.13,Sh
SDSS J115146.37+432528.2,0.2,F
SDSS J133850.18+101044.4,0.07,F
SDSS J150255.60+071201.3,0.23,C
SDSS J133831.80+510949.8,0.12,F
SDSS J115148.06+363532.9,0.09,F
SDSS J105412.82+322449.8,0.24,Sh
SDSS J075451.87+454921.0,0.15,
SDSS J162857.51+484413.3,0.18,
SDSS J155243.12+201359.3,0.14,
SDSS J133406.07+014516.0,0.15,Sh
SDSS J093614.30+172905.2,0.28,F
SDSS J132935.53+114151.8,0.33,C
SDSS J142906.04+075045.8,0.39,F
SDSS J153733.22+061733.8,0.25,F
SDSS J232455.07+151919.6,0.16,
SDSS J131343.30+335850.7,0.39,F
SDSS J135101.26+303855.4,0.13,F
SDSS J135054.21+381629.2,0.21,V
SDSS J133228.80+394841.4,0.08,Sh
SDSS J143246.35+364229.1,0.13,F
SDSS J094157.81+030756.9,0.23,Sh
SDSS J130340.93+145506.9,0.2,F
SDSS J095208.27+041508.2,0.13,Sh
SDSS J122055.88+244006.8,0.25,F
SDSS J140415.76+331028.1,0.29,Sh
SDSS J142531.34+281523.9,0.15,F
SDSS J164607.00+422737.4,0.11,
SDSS J011845.85+145935.6,0.19,
SDSS J133420.90+271643.5,0.15,C
SDSS J091858.05+055318.1,0.09,Sh
SDSS J150716.65+403108.2,0.13,V
SDSS J100001.91+063606.3,0.15,F
SDSS J161721.37+262549.0,0.09,
SDSS J000603.91-004337.1,0.18,
SDSS J141128.63+212927.3,0.14,V
SDSS J120709.54-011509.2,0.11,
SDSS J153545.82+445005.3,0.18,Sh
SDSS J154122.58+281347.1,0.13,
SDSS J122731.62+334004.9,0.24,Sh
SDSS J114320.54+235405.8,0.48,F
SDSS J102432.06+241413.1,0.13,F
SDSS J122820.73+411627.6,0.13,Sh
SDSS J133026.50+074032.6,0.18,F
SDSS J165233.61+172103.9,0.12,
SDSS J130516.02+255727.5,0.21,F
SDSS J105150.40+184443.3,0.28,F
SDSS J084554.18+095819.9,0.12,F
SDSS J095255.26+230335.5,0.16,Sh
SDSS J150325.05+142204.6,0.21,Sh
SDSS J031634.45+410250.9,0.16,
SDSS J114344.69+252727.7,0.19,F
SDSS J143945.62+182932.4,0.1,C
SDSS J110743.45+031609.3,0.36,Sh
SDSS J162628.71+240132.6,0.28,
SDSS J155220.73+243735.7,0.25,
SDSS J115052.70+530359.9,0.2,F
SDSS J033029.12+004507.3,0.09,
SDSS J142753.34+161144.0,0.21,C
SDSS J120149.75+163148.9,0.15,F
SDSS J134548.16+153153.8,0.09,C
SDSS J134905.46+171418.0,0.23,F
SDSS J115113.70+055838.5,0.17,F
SDSS J024452.50-065604.6,0.12,
SDSS J083203.49+240039.2,0.17,F
SDSS J081815.32+092545.9,0.19,
SDSS J114549.14+052017.1,0.12,C
SDSS J082726.79+412940.4,0.24,Sh
SDSS J114713.25+524020.1,0.11,F
SDSS J111515.10+583225.1,0.15,F
SDSS J114308.47+092707.7,0.37,F
SDSS J080727.58+250802.4,0.09,
SDSS J112721.58+074851.4,0.28,Sh
SDSS J092422.88+281734.9,0.17,F
SDSS J114643.68+345955.9,0.32,F
SDSS J123625.94+343405.7,0.13,F
SDSS J142535.91+271905.5,0.28,F
SDSS J120353.48+275313.1,0.12,Sh
SDSS J143050.93+135807.0,0.26,Sh
SDSS J102332.61+105734.9,0.23,C
SDSS J125745.47+073101.8,0.13,C
SDSS J102001.42+161130.0,0.16,Sh
SDSS J131150.26+465557.6,0.1,F
SDSS J104204.59+571823.6,0.15,F
SDSS J120502.76+380228.4,0.14,F
SDSS J105924.48+065859.7,0.15,F
SDSS J154313.50+284457.9,0.19,
SDSS J115423.51+653521.9,0.14,
SDSS J080253.75+282725.6,0.19,
SDSS J131556.00+132011.7,0.25,Sh
SDSS J162152.23+385556.8,0.17,
SDSS J142913.69+531322.0,0.12,C
SDSS J160240.56+372134.1,0.19,
SDSS J102704.51+460328.3,0.12,F
SDSS J165828.19+414039.6,0.21,
SDSS J094410.74+393829.8,0.17,Sh
SDSS J141357.04+524552.1,0.19,F
SDSS J162859.18+143419.0,0.27,
SDSS J102805.35+204615.6,0.07,Sh
SDSS J153042.08+144135.8,0.16,Sh
SDSS J123146.88+475539.2,0.14,C
SDSS J131216.81+462427.7,0.23,V
SDSS J135625.34+283134.4,0.24,F
SDSS J110312.95+110436.3,0.22,F
SDSS J032511.57-061051.4,0.19,
SDSS J121240.50+403349.9,0.16,F
SDSS J161203.66+003451.6,0.14,
SDSS J130613.09+012842.6,0.11,Sh
SDSS J011725.37-002024.8,0.23,
SDSS J115645.54-011736.0,0.26,
SDSS J092159.79+060053.6,0.19,F
SDSS J150749.08-012854.8,0.16,
SDSS J082352.01+175646.6,0.17,C
SDSS J103020.91+611549.2,0.18,
SDSS J114932.33-032834.2,0.18,
SDSS J111531.11+351222.7,0.21,F
SDSS J131238.08+153821.6,0.15,F
SDSS J091219.52+460525.4,0.11,F
SDSS J073541.50+370544.8,0.23,
SDSS J084916.39+360711.2,0.08,C
SDSS J120836.60+363904.6,0.16,F
SDSS J143307.24+520006.7,0.32,F
SDSS J165422.26+412007.6,0.18,
SDSS J151801.64+381301.2,0.19,F
SDSS J130941.82+022728.5,0.62,Sh
SDSS J100819.11+372903.4,0.16,F
SDSS J153400.50+324910.1,0.35,F
SDSS J122317.14+130306.5,0.14,F
SDSS J154934.30+134942.8,0.29,
SDSS J120439.45+014609.1,0.21,F
SDSS J102812.25+463810.1,0.17,F
SDSS J135424.70+210725.5,0.15,F
SDSS J220651.29-085633.4,0.11,
SDSS J100750.53+341855.0,0.1,Sh
SDSS J222334.19-084627.8,0.21,
SDSS J133255.12-010934.0,0.09,
SDSS J145014.40+063029.1,0.13,Sh
SDSS J152511.19+473933.1,0.2,F
SDSS J155024.64+064620.1,0.13,
SDSS J133037.65+310959.8,0.21,F
SDSS J011324.26+151427.9,0.17,
SDSS J101027.90+275721.9,0.31,Sh
SDSS J123515.88+302145.9,0.24,F
SDSS J104812.36+263608.8,0.14,F
SDSS J115946.25+211742.3,0.22,F
SDSS J164208.18+401636.8,0.28,
SDSS J125429.11+150908.1,0.33,Sh
SDSS J123601.13+083602.3,0.36,V
SDSS J152248.43+044146.4,0.1,F
SDSS J081552.38+203008.8,0.12,
SDSS J234032.69-003303.7,0.15,
SDSS J123243.56+292252.9,0.14,C
SDSS J120327.23+221237.2,0.27,F
SDSS J120112.58+223701.8,0.13,Sh
SDSS J092437.72+492125.4,0.37,F
SDSS J141136.32+240442.6,0.13,F
SDSS J082620.52+141407.8,0.11,C
SDSS J090256.94+160327.4,0.29,F
SDSS J141049.38+175247.3,0.16,F
SDSS J114820.03+384454.0,0.14,F
SDSS J130019.58+370246.3,0.17,F
SDSS J091430.68+251157.0,0.24,F
SDSS J103022.12+123555.5,0.22,C
SDSS J130718.95+020013.1,0.3,F
SDSS J132352.51+310134.8,0.39,C
SDSS J231131.84-001042.8,0.3,
SDSS J151550.24+163456.0,0.29,Sh
SDSS J145603.15+200504.4,0.26,Sh
SDSS J170838.48+323350.8,0.38,
SDSS J130633.26+610118.7,0.27,
SDSS J143525.34+002003.6,0.36,F
SDSS J103145.72+002316.5,0.35,F
SDSS J103841.49+014328.1,0.5,C
SDSS J090920.61+450355.9,0.26,Sh
SDSS J112818.06+413829.3,0.08,Sh
SDSS J083305.62+350655.4,0.39,F
SDSS J034222.15-003459.4,0.44,
SDSS J111739.73+265137.2,0.41,F
SDSS J122817.58+231324.7,0.24,F
SDSS J141019.64+360222.0,0.3,F
SDSS J092456.53+295201.7,0.37,F
SDSS J163057.26+214727.7,0.37,
SDSS J143201.89-015837.3,0.36,
SDSS J122043.02+542742.7,0.59,Sh
SDSS J141746.66+290241.2,0.31,F
SDSS J111633.85+284606.4,0.27,F
SDSS J144406.82-025049.5,0.31,
SDSS J120257.07+203935.7,0.31,Sh
SDSS J145231.72+150119.9,0.25,Sh
SDSS J105708.04+182128.6,0.36,Sh
SDSS J143718.39+611700.8,0.25,
SDSS J113412.76+494728.3,0.34,Sh
SDSS J132828.80+082325.9,0.34,F
SDSS J115530.82+245639.8,0.55,Sh
SDSS J031917.13-005810.7,0.28,
SDSS J100438.45+370436.8,0.25,C
SDSS J134903.73+125349.4,0.31,Sh
SDSS J091729.15+263559.4,0.3,F
SDSS J151329.21+581224.7,0.27,F
SDSS J170109.17+324917.6,0.32,
SDSS J143050.92+555051.2,0.07,F
SDSS J090956.16+232934.5,0.26,F
SDSS J103339.71+285902.7,0.48,Sh
SDSS J143858.30+092345.0,0.33,F
SDSS J121702.90+560829.0,0.44,F
SDSS J123449.51+131518.7,0.24,F
SDSS J155224.36+222439.6,0.27,
SDSS J080306.72+370124.8,0.29,
SDSS J114752.93+090030.4,0.24,F
SDSS J083218.48+294157.5,0.56,F
SDSS J121823.85+200830.2,0.45,V
SDSS J012147.20-004643.8,0.3,
SDSS J083336.23+081815.4,0.38,F
SDSS J094554.39+423839.9,0.17,C
SDSS J014644.82-004043.1,0.18,
SDSS J073336.04+455636.1,0.14,
SDSS J145935.83+334359.5,0.19,F
SDSS J160020.72+372234.5,0.32,
SDSS J145708.65+630149.5,0.14,
SDSS J140202.39+172346.5,0.14,F
SDSS J101611.65+221535.3,0.19,F
SDSS J101039.98+210643.7,0.19,F
SDSS J095955.87+471818.8,0.19,Sh
SDSS J152815.61+071519.8,0.13,Sh
SDSS J152818.21+255457.9,0.31,C
SDSS J162408.61+305708.9,0.19,
SDSS J110238.88+511031.5,0.4,F
SDSS J134009.11+365139.9,0.42,F
SDSS J133248.69+415218.5,0.19,F
SDSS J102829.39+535159.3,0.16,F
SDSS J153118.07+072727.9,0.19,F
SDSS J160948.31+422002.3,0.12,
SDSS J124144.54+350345.9,0.25,F
SDSS J095941.20+352334.1,0.12,Sh
SDSS J130204.91+402430.0,0.1,F
SDSS J150242.00+232001.0,0.14,Sh
SDSS J104717.64+472521.0,0.25,F
SDSS J115458.70+582937.1,0.15,C
SDSS J161918.16+370542.7,0.26,
SDSS J135406.26+052122.8,0.17,Sh
SDSS J094758.43+540053.1,0.21,Sh
SDSS J105158.03+034731.4,0.14,V
SDSS J072333.23+412605.5,0.13,
SDSS J114647.18+204031.5,0.15,C
SDSS J155025.92+180822.4,0.37,
SDSS J141818.50+285805.9,0.17,Sh
SDSS J101117.87+002632.6,0.09,V
SDSS J082742.02+212844.7,0.48,F
SDSS J085421.59+324051.0,0.41,Sh
SDSS J154403.67+044610.0,0.51,
SDSS J092810.03+443953.1,0.26,Sh
SDSS J165829.59+200229.2,0.19,
SDSS J161235.23+292154.2,0.08,
SDSS J153036.59+424301.7,0.1,F
SDSS J113658.03+550943.3,0.27,F
SDSS J155323.18+115733.0,0.12,
SDSS J082016.56+205230.2,0.1,F
SDSS J130415.04+091324.4,0.31,F
SDSS J154745.95+283830.0,0.22,
SDSS J123242.96+294244.6,0.07,Sh
SDSS J103247.56+155138.9,0.19,Sh
SDSS J135804.70+151853.3,0.11,F
SDSS J104916.99+001945.6,0.13,F
SDSS J075946.48+421526.7,0.17,
SDSS J092750.42+583234.1,0.3,F
SDSS J092238.18+605155.5,0.14,
SDSS J135032.13+031138.9,0.13,F
SDSS J143348.33+035724.7,0.19,C
SDSS J113011.92+014938.4,0.18,F
SDSS J111952.53+542746.2,0.13,Sh
SDSS J075953.80+331725.8,0.09,
SDSS J094447.06+514119.3,0.23,Sh
SDSS J093123.37+051609.7,0.37,C
SDSS J105211.68+582617.3,0.08,F
SDSS J135432.28+582345.8,0.16,C
SDSS J120917.51+440524.6,0.3,Sh
SDSS J142702.32+395726.1,0.59,F
SDSS J132136.02+421657.7,0.22,V
SDSS J133700.12+383526.3,0.14,C
SDSS J163007.63+215047.7,0.11,
SDSS J151808.40+051838.3,0.13,C
SDSS J160300.26+270037.0,0.12,
SDSS J132956.75+413733.7,0.18,F
SDSS J110949.15+352551.9,0.14,F
SDSS J132538.66+334049.5,0.14,F
SDSS J154008.83+213056.1,0.09,
SDSS J093316.39+230805.6,0.25,F
SDSS J112615.74+275201.6,0.22,F
SDSS J080154.12+093733.1,0.32,
SDSS J102518.12+200046.6,0.11,Sh
SDSS J112945.19+220735.5,0.12,F
SDSS J143808.92+201024.8,0.42,C
SDSS J130355.17+161014.9,0.14,F
SDSS J115243.43+014426.8,0.36,Sh
